normal_period,region_name,month,variable,variable_label,unit,normal_value,p33_33,p66_67,lower_tercile,middle_tercile,upper_tercile
1991-2020,대구-경상북도,2,tavg,평균기온,degC,1.5105,1.1718,1.9403,< 1.1718 (낮음),1.1718 - 1.9403 (비슷),> 1.9403 (높음)
1991-2020,대구-경상북도,3,precip,강수량,mm,49.6861,29.2237,58.6157,< 29.2237 (적음),29.2237 - 58.6157 (비슷),> 58.6157 (많음)
1991-2020,대구-경상북도,3,tavg,평균기온,degC,6.4221,5.8803,6.9062,< 5.8803 (낮음),5.8803 - 6.9062 (비슷),> 6.9062 (높음)
1991-2020,대구-경상북도,4,precip,강수량,mm,79.5803,54.2899,95.1331,< 54.2899 (적음),54.2899 - 95.1331 (비슷),> 95.1331 (많음)
1991-2020,대구-경상북도,4,tavg,평균기온,degC,12.4626,11.9393,13.0052,< 11.9393 (낮음),11.9393 - 13.0052 (비슷),> 13.0052 (높음)
1991-2020,대구-경상북도,5,precip,강수량,mm,87.6318,56.1439,109.0541,< 56.1439 (적음),56.1439 - 109.0541 (비슷),> 109.0541 (많음)
1991-2020,대구-경상북도,5,tavg,평균기온,degC,17.5235,17.1501,17.8797,< 17.1501 (낮음),17.1501 - 17.8797 (비슷),> 17.8797 (높음)
1991-2020,대구-경상북도,6,precip,강수량,mm,128.6249,82.974,148.0429,< 82.974 (적음),82.974 - 148.0429 (비슷),> 148.0429 (많음)
1991-2020,대구-경상북도,6,tavg,평균기온,degC,21.3588,21.2242,21.7382,< 21.2242 (낮음),21.2242 - 21.7382 (비슷),> 21.7382 (높음)
1991-2020,대구-경상북도,7,precip,강수량,mm,238.9415,184.164,261.4738,< 184.164 (적음),184.164 - 261.4738 (비슷),> 261.4738 (많음)
1991-2020,대구-경상북도,7,tavg,평균기온,degC,24.5013,23.9357,25.2348,< 23.9357 (낮음),23.9357 - 25.2348 (비슷),> 25.2348 (높음)
1991-2020,대구-경상북도,8,precip,강수량,mm,241.2033,180.2041,293.772,< 180.2041 (적음),180.2041 - 293.772 (비슷),> 293.772 (많음)
1991-2020,대구-경상북도,8,tavg,평균기온,degC,24.8641,24.1682,25.7479,< 24.1682 (낮음),24.1682 - 25.7479 (비슷),> 25.7479 (높음)
1991-2020,대구-경상북도,9,precip,강수량,mm,147.9552,86.3287,172.8791,< 86.3287 (적음),86.3287 - 172.8791 (비슷),> 172.8791 (많음)
1991-2020,대구-경상북도,9,tavg,평균기온,degC,20.0951,19.7923,20.4771,< 19.7923 (낮음),19.7923 - 20.4771 (비슷),> 20.4771 (높음)
1991-2020,대구-경상북도,10,precip,강수량,mm,60.4345,31.066,65.0476,< 31.066 (적음),31.066 - 65.0476 (비슷),> 65.0476 (많음)
1991-2020,대구-경상북도,10,tavg,평균기온,degC,14.0443,13.5568,14.4179,< 13.5568 (낮음),13.5568 - 14.4179 (비슷),> 14.4179 (높음)
1991-2020,대구-경상북도,11,precip,강수량,mm,38.4154,15.8107,48.2931,< 15.8107 (적음),15.8107 - 48.2931 (비슷),> 48.2931 (많음)
1991-2020,대구-경상북도,11,tavg,평균기온,degC,7.4293,6.7537,8.1419,< 6.7537 (낮음),6.7537 - 8.1419 (비슷),> 8.1419 (높음)
1991-2020,대구-경상북도,12,precip,강수량,mm,21.8849,11.7844,24.1092,< 11.7844 (적음),11.7844 - 24.1092 (비슷),> 24.1092 (많음)
1991-2020,대구-경상북도,12,tavg,평균기온,degC,1.1319,0.7518,1.9332,< 0.7518 (낮음),0.7518 - 1.9332 (비슷),> 1.9332 (높음)
1991-2020,대전-세종-충청남도,1,precip,강수량,mm,23.5078,15.633,28.1283,< 15.633 (적음),15.633 - 28.1283 (비슷),> 28.1283 (많음)
1991-2020,대전-세종-충청남도,1,tavg,평균기온,degC,-1.5478,-1.8933,-1.1757,< -1.8933 (낮음),-1.8933 - -1.1757 (비슷),> -1.1757 (높음)
